mcg,gvh,alm,mit,erl,pox,vac,nuc
2.987021229988562e-09,2.91555721938341e-09,1.489230391063355e-08,4.474897786129185e-09,1.4136564976028074e-09,7.370258323738686e+57,3.6980226447799046e-08,4.471970619251214e-09
1.216716839388617e-07,1.011612219392774e-07,1.0640626596255043e-06,1.7992812782841787e-07,0.0718670872469074,7.746345136888154e+39,1.227550042057067e-06,6.209606193971907e-07
2.5565948468067743e-16,4.2626450872010535e-16,3.2946644606830752e-15,6.452876050865673e-16,2.260400870233813e+18,1.8377096689189457e+72,1.7051904877000838e-15,6.093392234026515e-16
1.4932117015539838e-15,2.4724463359410965e-15,1.1221473483568343e-14,1.9616513731613987e-15,1.5105788375229148e+23,7.133387645672564e+63,4.848104497533208e-15,2.3554225771582945e-15
1.116979848612331e-10,1.4149750280710674e-10,2.2781254326460165e-10,9.202721797332398e-11,2.667169892415972e+68,2.1021699649034354e-10,2.9362215184780483e-10,1.8331780007258643e-10
7.985531927651635e-12,9.807431138760984e-12,1.9981189751755053e-11,7.998533036223145e-12,6.665191147343391e-11,2.0197548939183393e+75,4.488144087306404e-11,1.3223034349274337e-11
1.8857656947793446e-07,2.103103596216618e-07,1.604045133374725e-06,7.540102301281097e-07,5.0420489120563365e+42,9.902652072136774e-08,1.5365769194527252e-06,2.7173457486398372e-05
1.0570854345980262e-07,1.3068709896108458e-07,8.545092688758596e-07,2.7332814468637697e-07,6.517500221481784e+43,6.752880329799302e-07,3.3989950659875847e-06,2.0717408058971164e-06
1.4033981088400943e-10,2.1558843483754913e-10,7.018335631634392e-10,2.8144157278307463e-10,7.107145093796027e+66,2.411258189903438e-11,7.991616679981363e-10,1.2217932710901863e-09
5.782922351645219e-13,6.754680785154058e-13,2.4050627274127928e-12,6.939535730014488e-13,1.8198731477231904e+83,3.3973648320320194e-13,7.884870583660971e-12,3.1463940471033773e-12
