k,h
3.0,0.0565
9.0,0.0565
11.0,0.0565
9.0,0.0565
13.0,0.0565
13.0,0.0565
3.0,0.0565
9.0,0.0565
5.0,0.0565
7.0,0.0565
5.0,0.0565
3.0,0.0565
9.0,0.0565
21.0,0.112
5.0,0.0565
7.0,0.0565
7.0,0.0565
7.0,0.0565
7.0,0.0565
9.0,0.0565
9.0,0.0565
9.0,0.112
11.0,0.0565
11.0,0.0565
5.0,0.0565
9.0,0.0565
5.0,0.0565
17.0,0.0565
7.0,0.0565
5.0,0.0565
7.0,0.0565
13.0,0.0565
9.0,0.112
15.0,0.0565
7.0,0.0565
5.0,0.0565
5.0,0.0565
11.0,0.0565
11.0,0.0565
13.0,0.0565
5.0,0.0565
5.0,0.0565
5.0,0.112
5.0,0.0565
7.0,0.0565
9.0,0.0565
5.0,0.0565
13.0,0.0565
3.0,0.0565
7.0,0.0565
