k,h
19.0,0.0565
9.0,0.0565
11.0,0.0565
37.0,0.0565
19.0,0.0565
5.0,0.0565
29.0,0.0565
17.0,0.0565
7.0,0.0565
21.0,0.0565
15.0,0.0565
7.0,0.112
11.0,0.0565
7.0,0.112
11.0,0.0565
15.0,0.0565
7.0,0.0565
5.0,0.0565
3.0,0.0565
31.0,0.0565
7.0,0.0565
11.0,0.0565
11.0,0.0565
15.0,0.0565
33.0,0.0565
5.0,0.0565
7.0,0.0565
23.0,0.112
5.0,0.112
9.0,0.0565
7.0,0.0565
7.0,0.0565
13.0,0.0565
15.0,0.0565
17.0,0.0565
5.0,0.0565
5.0,0.0565
17.0,0.112
21.0,0.0565
13.0,0.0565
27.0,0.112
5.0,0.0565
7.0,0.0565
3.0,0.0565
11.0,0.0565
5.0,0.0565
3.0,0.0565
9.0,0.0565
15.0,0.0565
3.0,0.0565
