k,h
7.0,0.0565
11.0,0.0565
5.0,0.0565
5.0,0.0565
13.0,0.0565
13.0,0.0565
7.0,0.0565
11.0,0.0565
7.0,0.0565
3.0,0.0565
5.0,0.0565
9.0,0.0565
11.0,0.0565
11.0,0.0565
5.0,0.0565
7.0,0.0565
7.0,0.0565
11.0,0.0565
7.0,0.0565
11.0,0.0565
9.0,0.0565
7.0,0.0565
7.0,0.0565
5.0,0.0565
9.0,0.0565
5.0,0.0565
3.0,0.0565
9.0,0.0565
3.0,0.0565
9.0,0.0565
13.0,0.0565
7.0,0.0565
7.0,0.0565
13.0,0.0565
5.0,0.0565
9.0,0.0565
15.0,0.0565
5.0,0.0565
3.0,0.0565
7.0,0.0565
7.0,0.0565
11.0,0.0565
3.0,0.0565
5.0,0.0565
7.0,0.0565
5.0,0.0565
5.0,0.0565
13.0,0.0565
11.0,0.0565
7.0,0.0565
